,Precision_KNN,Recall_KNN
0,0.001558944973455802,1.0
1,0.36554621848739494,0.7837837837837838
2,0.40654205607476634,0.7837837837837838
3,0.43283582089552236,0.7837837837837838
4,0.4416243654822335,0.7837837837837838
5,0.4858757062146893,0.7747747747747747
6,0.5119047619047619,0.7747747747747747
7,0.5477707006369427,0.7747747747747747
8,0.5743243243243243,0.7657657657657657
9,0.6296296296296297,0.7657657657657657
10,0.7454545454545455,0.7387387387387387
11,0.8333333333333334,0.7207207207207207
12,1.0,0.0
